split,seed,paired_days,shared_event_days,fixed_event_days,shared_minus_fixed_loss_mwh
selection,42,17,0,0,-0.00017775887942257895
selection,43,17,0,0,-0.0014616911639092492
selection,44,17,0,0,-0.0011743735075824661
selection,45,17,0,0,0.0012413249636203545
selection,46,17,0,0,-0.0008999518704529386
confirmation,42,349,0,0,-0.0023818769988459675
confirmation,43,349,0,0,-0.0014125957526022602
confirmation,44,349,0,0,-0.0016116889694787937
confirmation,45,349,0,0,0.006654953361093482
confirmation,46,349,0,0,0.003183986915223374
