candidate_id,capacity_label,scenario_index,day_index,t0,pv_s_scale,svc_q_scale,cap_total_mvar
0,P00_pv0225_svc0000,0,1,96,0.225,0.0,0.0
1,P01_pv030_svc0000,0,1,96,0.3,0.0,0.0
2,P02_pv030_svc01875,0,1,96,0.3,0.1875,0.0
3,P03_pv030_svc0375,0,1,96,0.3,0.375,0.0
4,P04_pv045_svc0375,0,1,96,0.45,0.375,0.0
5,P05_pv045_svc05625,0,1,96,0.45,0.5625,0.0
6,P06_pv045_svc0750,0,1,96,0.45,0.75,0.0
7,P07_pv060_svc0750,0,1,96,0.6,0.75,0.0
8,P08_pv075_svc0750,0,1,96,0.75,0.75,0.0
9,P09_pv075_svc1000,0,1,96,0.75,1.0,0.0
10,P10_pv100_svc1000,0,1,96,1.0,1.0,0.0
11,P11_pv100_svc1250,0,1,96,1.0,1.25,0.0
12,P12_pv125_svc1250,0,1,96,1.25,1.25,0.0
13,P13_pv125_svc1500,0,1,96,1.25,1.5,0.0
14,P14_pv150_svc1500,0,1,96,1.5,1.5,0.0
0,P00_pv0225_svc0000,1,15,1440,0.225,0.0,0.0
1,P01_pv030_svc0000,1,15,1440,0.3,0.0,0.0
2,P02_pv030_svc01875,1,15,1440,0.3,0.1875,0.0
3,P03_pv030_svc0375,1,15,1440,0.3,0.375,0.0
4,P04_pv045_svc0375,1,15,1440,0.45,0.375,0.0
5,P05_pv045_svc05625,1,15,1440,0.45,0.5625,0.0
6,P06_pv045_svc0750,1,15,1440,0.45,0.75,0.0
7,P07_pv060_svc0750,1,15,1440,0.6,0.75,0.0
8,P08_pv075_svc0750,1,15,1440,0.75,0.75,0.0
9,P09_pv075_svc1000,1,15,1440,0.75,1.0,0.0
10,P10_pv100_svc1000,1,15,1440,1.0,1.0,0.0
11,P11_pv100_svc1250,1,15,1440,1.0,1.25,0.0
12,P12_pv125_svc1250,1,15,1440,1.25,1.25,0.0
13,P13_pv125_svc1500,1,15,1440,1.25,1.5,0.0
14,P14_pv150_svc1500,1,15,1440,1.5,1.5,0.0
0,P00_pv0225_svc0000,2,38,3648,0.225,0.0,0.0
1,P01_pv030_svc0000,2,38,3648,0.3,0.0,0.0
2,P02_pv030_svc01875,2,38,3648,0.3,0.1875,0.0
3,P03_pv030_svc0375,2,38,3648,0.3,0.375,0.0
4,P04_pv045_svc0375,2,38,3648,0.45,0.375,0.0
5,P05_pv045_svc05625,2,38,3648,0.45,0.5625,0.0
6,P06_pv045_svc0750,2,38,3648,0.45,0.75,0.0
7,P07_pv060_svc0750,2,38,3648,0.6,0.75,0.0
8,P08_pv075_svc0750,2,38,3648,0.75,0.75,0.0
9,P09_pv075_svc1000,2,38,3648,0.75,1.0,0.0
10,P10_pv100_svc1000,2,38,3648,1.0,1.0,0.0
11,P11_pv100_svc1250,2,38,3648,1.0,1.25,0.0
12,P12_pv125_svc1250,2,38,3648,1.25,1.25,0.0
13,P13_pv125_svc1500,2,38,3648,1.25,1.5,0.0
14,P14_pv150_svc1500,2,38,3648,1.5,1.5,0.0
0,P00_pv0225_svc0000,3,39,3744,0.225,0.0,0.0
1,P01_pv030_svc0000,3,39,3744,0.3,0.0,0.0
2,P02_pv030_svc01875,3,39,3744,0.3,0.1875,0.0
3,P03_pv030_svc0375,3,39,3744,0.3,0.375,0.0
4,P04_pv045_svc0375,3,39,3744,0.45,0.375,0.0
5,P05_pv045_svc05625,3,39,3744,0.45,0.5625,0.0
6,P06_pv045_svc0750,3,39,3744,0.45,0.75,0.0
7,P07_pv060_svc0750,3,39,3744,0.6,0.75,0.0
8,P08_pv075_svc0750,3,39,3744,0.75,0.75,0.0
9,P09_pv075_svc1000,3,39,3744,0.75,1.0,0.0
10,P10_pv100_svc1000,3,39,3744,1.0,1.0,0.0
11,P11_pv100_svc1250,3,39,3744,1.0,1.25,0.0
12,P12_pv125_svc1250,3,39,3744,1.25,1.25,0.0
13,P13_pv125_svc1500,3,39,3744,1.25,1.5,0.0
14,P14_pv150_svc1500,3,39,3744,1.5,1.5,0.0
0,P00_pv0225_svc0000,5,56,5376,0.225,0.0,0.0
1,P01_pv030_svc0000,5,56,5376,0.3,0.0,0.0
2,P02_pv030_svc01875,5,56,5376,0.3,0.1875,0.0
3,P03_pv030_svc0375,5,56,5376,0.3,0.375,0.0
4,P04_pv045_svc0375,5,56,5376,0.45,0.375,0.0
5,P05_pv045_svc05625,5,56,5376,0.45,0.5625,0.0
6,P06_pv045_svc0750,5,56,5376,0.45,0.75,0.0
7,P07_pv060_svc0750,5,56,5376,0.6,0.75,0.0
8,P08_pv075_svc0750,5,56,5376,0.75,0.75,0.0
9,P09_pv075_svc1000,5,56,5376,0.75,1.0,0.0
10,P10_pv100_svc1000,5,56,5376,1.0,1.0,0.0
11,P11_pv100_svc1250,5,56,5376,1.0,1.25,0.0
12,P12_pv125_svc1250,5,56,5376,1.25,1.25,0.0
13,P13_pv125_svc1500,5,56,5376,1.25,1.5,0.0
14,P14_pv150_svc1500,5,56,5376,1.5,1.5,0.0
0,P00_pv0225_svc0000,6,57,5472,0.225,0.0,0.0
1,P01_pv030_svc0000,6,57,5472,0.3,0.0,0.0
2,P02_pv030_svc01875,6,57,5472,0.3,0.1875,0.0
3,P03_pv030_svc0375,6,57,5472,0.3,0.375,0.0
